system:index,BasinID,area,feature,year,.geo
5_1_1_0007000000000000371f,6080540560,1176.6235294117646,cl,1990.0,
5_1_1_00070000000000003720,6080540660,6079.498039215687,cl,1990.0,
5_1_2_000000000000000026fe,1080982910,0.0,rivArea,1990.0,
5_1_2_00000000000000002704,1080977020,0.0,rivArea,1990.0,
5_1_2_0000000000000000270b,1081012470,0.0,rivArea,1990.0,
5_1_2_00020000000000002c8c,5080162350,1.0691067355228439E7,rivArea,1990.0,
5_1_2_000200000000000037d2,5080166880,1.8572959768680587E7,rivArea,1990.0,
5_1_2_000600000000000023f1,6080108730,0.0,rivArea,1990.0,
5_1_2_000700000000000035bb,6080546500,4.894840347844046E7,rivArea,1990.0,
5_1_2_0007000000000000362a,6080552520,6.743200628296645E7,rivArea,1990.0,
5_1_2_0007000000000000362b,6080552360,2.07321434294144E7,rivArea,1990.0,
5_1_2_00070000000000003659,6080548660,8493624.048340082,rivArea,1990.0,
5_1_2_0007000000000000365a,6080548950,2.265950472413019E7,rivArea,1990.0,
5_1_2_0007000000000000369f,6080549240,4.1107951575401634E7,rivArea,1990.0,
5_1_2_000700000000000036a0,6080549470,3.728839914161856E7,rivArea,1990.0,
5_1_2_0007000000000000371f,6080540560,6632252.429583861,rivArea,1990.0,
5_1_2_00070000000000003720,6080540660,6.190748066208975E7,rivArea,1990.0,
5_2_000000000000000026fe,1080982910,0.0,waterArea,1990.0,
5_2_00000000000000002704,1080977020,0.0,waterArea,1990.0,
5_2_0000000000000000270b,1081012470,0.0,waterArea,1990.0,
5_2_00020000000000002c8c,5080162350,1.07840174220009E7,waterArea,1990.0,
5_2_000200000000000037d2,5080166880,2.109722531554338E7,waterArea,1990.0,
5_2_000600000000000023f1,6080108730,16022.666748046875,waterArea,1990.0,
5_2_000700000000000035bb,6080546500,5.976024100608939E7,waterArea,1990.0,
5_2_0007000000000000362a,6080552520,7.237279431592543E7,waterArea,1990.0,
5_2_0007000000000000362b,6080552360,2.7771079267732255E7,waterArea,1990.0,
5_2_00070000000000003659,6080548660,9854262.011450913,waterArea,1990.0,
5_2_0007000000000000365a,6080548950,2.8356862918237306E7,waterArea,1990.0,
5_2_0007000000000000369f,6080549240,4.897035287178835E7,waterArea,1990.0,
5_2_000700000000000036a0,6080549470,3.868895855537588E7,waterArea,1990.0,
5_2_0007000000000000371f,6080540560,7000422.218252863,waterArea,1990.0,
5_2_00070000000000003720,6080540660,6.617684980837594E7,waterArea,1990.0,
6_1_1_000000000000000026fe,1080982910,0.0,cl,1991.0,
6_1_1_00000000000000002704,1080977020,0.0,cl,1991.0,
6_1_1_0000000000000000270b,1081012470,0.0,cl,1991.0,
6_1_1_00020000000000002c8c,5080162350,2580.0,cl,1991.0,
6_1_1_000200000000000037d2,5080166880,5683.0,cl,1991.0,
6_1_1_000600000000000023f1,6080108730,69.0,cl,1991.0,
6_1_1_000700000000000035bb,6080546500,3188.2509803921566,cl,1991.0,
6_1_1_0007000000000000362a,6080552520,5720.301960784313,cl,1991.0,
6_1_1_0007000000000000362b,6080552360,1887.929411764706,cl,1991.0,
6_1_1_00070000000000003659,6080548660,1677.8745098039217,cl,1991.0,
6_1_1_0007000000000000365a,6080548950,2248.937254901961,cl,1991.0,
6_1_1_0007000000000000369f,6080549240,5573.792156862745,cl,1991.0,
6_1_1_000700000000000036a0,6080549470,7087.764705882353,cl,1991.0,
6_1_1_0007000000000000371f,6080540560,1167.6235294117646,cl,1991.0,
6_1_1_00070000000000003720,6080540660,6027.498039215687,cl,1991.0,
6_1_2_000000000000000026fe,1080982910,0.0,rivArea,1991.0,
6_1_2_00000000000000002704,1080977020,0.0,rivArea,1991.0,
6_1_2_0000000000000000270b,1081012470,0.0,rivArea,1991.0,
6_1_2_00020000000000002c8c,5080162350,1.0512207916424202E7,rivArea,1991.0,
6_1_2_000200000000000037d2,5080166880,1.8154838548831955E7,rivArea,1991.0,
6_1_2_000600000000000023f1,6080108730,819517.9474487305,rivArea,1991.0,
6_1_2_000700000000000035bb,6080546500,5.047947302586478E7,rivArea,1991.0,
6_1_2_0007000000000000362a,6080552520,7.158062719215618E7,rivArea,1991.0,
6_1_2_0007000000000000362b,6080552360,2.1645980897956163E7,rivArea,1991.0,
6_1_2_00070000000000003659,6080548660,9631265.673034906,rivArea,1991.0,
6_1_2_0007000000000000365a,6080548950,2.406628035885393E7,rivArea,1991.0,
6_1_2_0007000000000000369f,6080549240,4.668051799081409E7,rivArea,1991.0,
6_1_2_000700000000000036a0,6080549470,4.095720099079039E7,rivArea,1991.0,
6_1_2_0007000000000000371f,6080540560,6839920.821919041,rivArea,1991.0,
6_1_2_00070000000000003720,6080540660,6.949674840215132E7,rivArea,1991.0,
6_2_000000000000000026fe,1080982910,0.0,waterArea,1991.0,
6_2_00000000000000002704,1080977020,0.0,waterArea,1991.0,
6_2_0000000000000000270b,1081012470,0.0,waterArea,1991.0,
6_2_00020000000000002c8c,5080162350,1.0572982830242561E7,waterArea,1991.0,
6_2_000200000000000037d2,5080166880,2.0756586702884685E7,waterArea,1991.0,
6_2_000600000000000023f1,6080108730,1059827.5706176758,waterArea,1991.0,
6_2_000700000000000035bb,6080546500,6.110013339403483E7,waterArea,1991.0,
6_2_0007000000000000362a,6080552520,7.627797262251507E7,waterArea,1991.0,
6_2_0007000000000000362b,6080552360,2.8772077435120575E7,waterArea,1991.0,
6_2_00070000000000003659,6080548660,1.0947366805762436E7,waterArea,1991.0,
6_2_0007000000000000365a,6080548950,2.9953948002973255E7,waterArea,1991.0,
6_2_0007000000000000369f,6080549240,5.479037306942737E7,waterArea,1991.0,
6_2_000700000000000036a0,6080549470,4.240130359058287E7,waterArea,1991.0,
